using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
step51 | loss: 5.792056560516357 | dt: 2371.84ms | tok/sec:  6907.71 | norm: 0.93 | lr: 0.00052000
step52 | loss: 6.005640983581543 | dt: 1453.23ms | tok/sec:  11274.23 | norm: 9.12 | lr: 0.00053000
step53 | loss: 5.999229907989502 | dt: 2109.88ms | tok/sec:  7765.37 | norm: 3.41 | lr: 0.00054000
step54 | loss: 6.078840255737305 | dt: 1446.42ms | tok/sec:  11327.29 | norm: 1.87 | lr: 0.00055000
step55 | loss: 5.889501094818115 | dt: 2000.96ms | tok/sec:  8188.07 | norm: 2.12 | lr: 0.00056000
step56 | loss: 5.82583475112915 | dt: 1412.36ms | tok/sec:  11600.47 | norm: 1.39 | lr: 0.00057000
step57 | loss: 5.810604095458984 | dt: 2003.97ms | tok/sec:  8175.78 | norm: 1.34 | lr: 0.00058000
step58 | loss: 5.77336311340332 | dt: 1409.18ms | tok/sec:  11626.65 | norm: 1.32 | lr: 0.00059000
step59 | loss: 5.556936264038086 | dt: 2003.82ms | tok/sec:  8176.37 | norm: 1.13 | lr: 0.00060000
step60 | loss: 5.891226768493652 | dt: 1412.52ms | tok/sec:  11599.14 | norm: 1.53 | lr: 0.00060000
step61 | loss: 5.5973663330078125 | dt: 1997.26ms | tok/sec:  8203.24 | norm: 1.16 | lr: 0.00060000
step62 | loss: 5.735365867614746 | dt: 1407.82ms | tok/sec:  11637.89 | norm: 1.36 | lr: 0.00060000
step63 | loss: 5.673218727111816 | dt: 1996.97ms | tok/sec:  8204.43 | norm: 1.14 | lr: 0.00060000
step64 | loss: 5.571805000305176 | dt: 1410.02ms | tok/sec:  11619.73 | norm: 1.07 | lr: 0.00060000
step65 | loss: 5.80435848236084 | dt: 2071.65ms | tok/sec:  7908.67 | norm: 1.29 | lr: 0.00060000
step66 | loss: 5.9793524742126465 | dt: 1426.41ms | tok/sec:  11486.15 | norm: 0.97 | lr: 0.00060000
step67 | loss: 5.796353340148926 | dt: 2009.19ms | tok/sec:  8154.54 | norm: 1.43 | lr: 0.00060000
step68 | loss: 5.7213287353515625 | dt: 1408.13ms | tok/sec:  11635.25 | norm: 1.41 | lr: 0.00060000
step69 | loss: 5.633906364440918 | dt: 2006.87ms | tok/sec:  8163.98 | norm: 1.11 | lr: 0.00060000
